0.00000000e+000 1.03850000e+001 4.51400000e-006
3.91389432e-002 1.04620000e+001 4.33300000e-006
7.82778865e-002 1.05390000e+001 4.15200000e-006
1.17416830e-001 1.06160000e+001 3.97200000e-006
1.56555773e-001 1.06920000e+001 3.79100000e-006
1.95694716e-001 1.07690000e+001 3.61100000e-006
2.34833659e-001 1.08460000e+001 3.43000000e-006
2.73972603e-001 1.09230000e+001 3.25000000e-006
3.13111546e-001 1.10000000e+001 3.06900000e-006
3.52250489e-001 1.10760000e+001 2.88800000e-006
3.91389432e-001 1.11530000e+001 2.70800000e-006
4.30528376e-001 1.12300000e+001 2.52700000e-006
4.69667319e-001 1.13070000e+001 2.34700000e-006
5.08806262e-001 1.13840000e+001 2.16600000e-006
5.47945205e-001 1.14610000e+001 1.98600000e-006
5.87084149e-001 1.15370000e+001 1.80500000e-006
6.26223092e-001 1.16140000e+001 1.62400000e-006
6.65362035e-001 1.16910000e+001 1.44400000e-002
7.04500978e-001 1.17680000e+001 1.26300000e-006
7.43639922e-001 1.18450000e+001 1.08300000e-006
7.82778865e-001 1.19220000e+001 9.02000000e-006
8.21917808e-001 1.19980000e+001 7.22000000e-006
8.61056751e-001 1.20750000e+001 5.41000000e-006
9.00195695e-001 1.21520000e+001 3.60000000e-006
9.39334638e-001 1.22290000e+001 1.80000000e-006
9.78473581e-001 1.23060000e+001 6.86860000e-006
1.01761252e+000 1.23820000e+001 1.81000000e-003
1.05675147e+000 1.24590000e+001 3.62000000e-003
1.09589041e+000 1.25360000e+001 5.42000000e-003
1.13502935e+000 1.26130000e+001 7.23000000e-003
1.17416830e+000 1.26900000e+001 9.04000000e-003
1.21330724e+000 1.27780000e+001 1.18000000e-002
1.25244618e+000 1.28740000e+001 1.53800000e-002
1.29158513e+000 1.29710000e+001 1.89500000e-002
1.33072407e+000 1.30680000e+001 2.25200000e-002
1.36986301e+000 1.31650000e+001 2.61000000e-002
1.40900196e+000 1.32680000e+001 3.06500000e-002
1.44814090e+000 1.33740000e+001 3.57400000e-002
1.48727984e+000 1.34790000e+001 4.08400000e-002
1.52641879e+000 1.35850000e+001 4.59400000e-002
1.56555773e+000 1.36910000e+001 5.10300000e-002
1.60469667e+000 1.38070000e+001 5.83500000e-002
1.64383562e+000 1.39260000e+001 6.64600000e-002
1.68297456e+000 1.40460000e+001 7.45800000e-002
1.72211350e+000 1.41650000e+001 8.27000000e-002
1.76125245e+000 1.42840000e+001 9.08100000e-002
1.80039139e+000 1.44340000e+001 1.02540000e-001
1.83953033e+000 1.45900000e+001 1.15010000e-001
1.87866928e+000 1.47460000e+001 1.27490000e-001
1.91780822e+000 1.49010000e+001 1.39970000e-001
1.95694716e+000 1.50570000e+001 1.52440000e-001
1.99608611e+000 1.52540000e+001 1.71260000e-001
2.03522505e+000 1.54550000e+001 1.90620000e-001
2.07436399e+000 1.56550000e+001 2.09970000e-001
2.11350294e+000 1.58560000e+001 2.29330000e-001
2.15264188e+000 1.60570000e+001 2.49020000e-001
2.19178082e+000 1.63180000e+001 2.89240000e-001
2.23091977e+000 1.65790000e+001 3.29470000e-001
2.27005871e+000 1.68400000e+001 3.69690000e-001
2.30919765e+000 1.71020000e+001 4.09910000e-001
2.34833659e+000 1.73750000e+001 4.51500000e-001
2.38747554e+000 1.77230000e+001 5.01750000e-001
2.42661448e+000 1.80720000e+001 5.52000000e-001
2.46575342e+000 1.84200000e+001 6.02250000e-001
2.50489237e+000 1.87690000e+001 6.52510000e-001
2.54403131e+000 1.91490000e+001 7.19320000e-001
2.58317025e+000 1.96340000e+001 8.41360000e-001
2.62230920e+000 2.01190000e+001 9.63390000e-001
2.66144814e+000 2.06050000e+001 1.08540000e+000
2.70058708e+000 2.10900000e+001 1.20750000e+000
2.73972603e+000 2.16600000e+001 1.34810000e+000
2.77886497e+000 2.24060000e+001 1.52720000e+000
2.81800391e+000 2.31520000e+001 1.70630000e+000
2.85714286e+000 2.38980000e+001 1.88550000e+000
2.89628180e+000 2.46440000e+001 2.06460000e+000
2.93542074e+000 2.56250000e+001 2.38420000e+000
2.97455969e+000 2.69310000e+001 2.89810000e+000
3.01369863e+000 2.82370000e+001 3.41190000e+000
3.05283757e+000 2.95430000e+001 3.92570000e+000
3.09197652e+000 3.08480000e+001 4.43960000e+000
3.13111546e+000 3.26920000e+001 6.11000000e+000
3.17025440e+000 3.50440000e+001 8.87420000e+000
3.20939335e+000 3.73960000e+001 1.16380000e+001
3.24853229e+000 3.97470000e+001 1.44030000e+001
3.28767123e+000 4.20990000e+001 1.71670000e+001
3.32681018e+000 4.05430000e+001 2.01890000e+001
3.36594912e+000 3.64700000e+001 2.33780000e+001
3.40508806e+000 3.23980000e+001 2.65670000e+001
3.44422701e+000 2.83250000e+001 2.97550000e+001
3.48336595e+000 2.42530000e+001 3.29440000e+001
3.52250489e+000 2.22450000e+001 3.35550000e+001
3.56164384e+000 2.11110000e+001 3.30760000e+001
3.60078278e+000 1.99770000e+001 3.25970000e+001
3.63992172e+000 1.88430000e+001 3.21170000e+001
3.67906067e+000 1.77100000e+001 3.16380000e+001
3.71819961e+000 1.69620000e+001 3.18240000e+001
3.75733855e+000 1.63140000e+001 3.21790000e+001
3.79647750e+000 1.56650000e+001 3.25340000e+001
3.83561644e+000 1.50160000e+001 3.28890000e+001
3.87475538e+000 1.43680000e+001 3.32450000e+001
3.91389432e+000 1.35540000e+001 3.42810000e+001
3.95303327e+000 1.27200000e+001 3.54000000e+001
3.99217221e+000 1.18860000e+001 3.65190000e+001
